k_base,mag2,is_kmax,is_kfp,in_noise_win,thr
2.750000000000000000e+00,6.800326490360371107e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.875000000000000000e+00,1.381789953012304008e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.000000000000000000e+00,2.269035131028522927e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.125000000000000000e+00,3.168829513565617456e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.250000000000000000e+00,3.865437437871880108e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.375000000000000000e+00,4.174484003190211692e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.500000000000000000e+00,4.009378850392087226e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.625000000000000000e+00,3.412453812038674527e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.750000000000000000e+00,2.538887344711742000e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.875000000000000000e+00,1.601623583402622778e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
4.000000000000000000e+00,8.008192234486462280e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
4.125000000000000000e+00,2.654796791077768512e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
4.250000000000000000e+00,2.713409719454394566e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
4.375000000000000000e+00,3.033600327838255967e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
4.500000000000000000e+00,1.698362081601170518e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
4.625000000000000000e+00,3.358156223679781639e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
4.750000000000000000e+00,4.491586686997542758e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
4.875000000000000000e+00,4.765464499131791146e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.000000000000000000e+00,4.254267790941907752e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.125000000000000000e+00,3.267354143396754083e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.250000000000000000e+00,2.157779682108921344e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.375000000000000000e+00,1.191418563392545388e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.500000000000000000e+00,5.039432240342902695e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.625000000000000000e+00,1.270609821573913903e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.750000000000000000e+00,4.398204968075314893e-08,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.875000000000000000e+00,2.388988337443417998e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.000000000000000000e+00,7.235772701050644528e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.125000000000000000e+00,1.540246987311925991e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.250000000000000000e+00,2.745504889298366152e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.375000000000000000e+00,4.377615005985196230e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.500000000000000000e+00,6.408601972153334873e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.625000000000000000e+00,8.689923612588807444e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.750000000000000000e+00,1.091453070912749177e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.875000000000000000e+00,1.262834843737629112e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.000000000000000000e+00,1.331834624858360409e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.125000000000000000e+00,1.257746361635149285e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.250000000000000000e+00,1.030673450553521815e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.375000000000000000e+00,6.880866895098644959e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.500000000000000000e+00,3.195747259842155065e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.625000000000000000e+00,5.453516980475215278e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.750000000000000000e+00,3.345424356357536764e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.875000000000000000e+00,3.700433888943015622e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
8.000000000000000000e+00,1.115958236914324995e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
8.125000000000000000e+00,2.239993035033393577e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
8.250000000000000000e+00,3.629204555100797031e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
8.375000000000000000e+00,5.112062012485219003e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
8.500000000000000000e+00,6.496381983041314603e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
8.625000000000000000e+00,7.610349606691481318e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
