freq_hz,psd_desired_dBm_per_MHz,psd_interferer_dBm_per_MHz,psd_mixed_dBm_per_MHz
-2.452125000000000000e+08,-1.566739675613683573e+02,-1.544080003927797122e+02,-1.553738729605376250e+02
-2.450906250000000000e+08,-1.557946540170956951e+02,-1.546063622338339769e+02,-1.555558677881550693e+02
-2.449687500000000000e+08,-1.531763129927166744e+02,-1.552748363811983268e+02,-1.533499031053002000e+02
-2.448468750000000000e+08,-1.526980998340689553e+02,-1.564182499590276052e+02,-1.533835261203482787e+02
-2.447250000000000000e+08,-1.554062411504942247e+02,-1.579686943950698890e+02,-1.577931163152470333e+02
-2.446031250000000000e+08,-1.470423551187424493e+02,-1.597014351283086171e+02,-1.469626579274085998e+02
-2.444812500000000000e+08,-1.388748497260086197e+02,-1.611125336988677077e+02,-1.386424440497205808e+02
-2.443593750000000000e+08,-1.334105718745091167e+02,-1.615927402016444603e+02,-1.332014851949510899e+02
-2.442375000000000000e+08,-1.295333849532040631e+02,-1.610844278620602381e+02,-1.293492464758139988e+02
-2.441156250000000000e+08,-1.267681983984255396e+02,-1.600839018055822010e+02,-1.266019024524408678e+02
-2.439937500000000000e+08,-1.248868279202303597e+02,-1.590349996576996716e+02,-1.247328438665606996e+02
-2.438718750000000000e+08,-1.237694309878592946e+02,-1.581825454729127785e+02,-1.236240986294417326e+02
-2.437500000000000000e+08,-1.233543650005381949e+02,-1.576627694349046749e+02,-1.232153891172972919e+02
-2.436281250000000000e+08,-1.236182940436896729e+02,-1.575576629772019714e+02,-1.234843388939217448e+02
-2.435062500000000000e+08,-1.245695229381139768e+02,-1.579159603128586014e+02,-1.244399644563197853e+02
-2.433843750000000000e+08,-1.262498768990190570e+02,-1.587645418158136579e+02,-1.261246958942772949e+02
-2.432625000000000000e+08,-1.287463022263467565e+02,-1.601142423179873902e+02,-1.286261540868986799e+02
-2.431406250000000000e+08,-1.322204956303265533e+02,-1.619545000069477396e+02,-1.321071804211288736e+02
-2.430187500000000000e+08,-1.369820714011356699e+02,-1.642154749392373674e+02,-1.368803936388665932e+02
-2.428968750000000000e+08,-1.436585224397262266e+02,-1.666362815350715891e+02,-1.435838803300842699e+02
-2.427750000000000000e+08,-1.523787458752924522e+02,-1.685144104660333255e+02,-1.523347395957359822e+02
-2.426531250000000000e+08,-1.532625814961647563e+02,-1.689626528884805339e+02,-1.530053245547372569e+02
-2.425312500000000000e+08,-1.521639127436731656e+02,-1.680766291740445126e+02,-1.517923239925875691e+02
-2.424093750000000000e+08,-1.529869319831904022e+02,-1.665910191652363892e+02,-1.524038329211348923e+02
-2.422875000000000000e+08,-1.540451197116755395e+02,-1.649191540405690262e+02,-1.531164916938908505e+02
-2.421656250000000000e+08,-1.543244584885022732e+02,-1.632420852139611043e+02,-1.530000311960579324e+02
-2.420437500000000000e+08,-1.540562086523106871e+02,-1.616988336084692435e+02,-1.523211007536983175e+02
-2.419218750000000000e+08,-1.535333921847214640e+02,-1.604041616616091801e+02,-1.514502608936001309e+02
-2.418000000000000000e+08,-1.529568692129039391e+02,-1.594342818727937754e+02,-1.506643492717032018e+02
-2.416781250000000000e+08,-1.526680631807289501e+02,-1.588338057914708656e+02,-1.502396632891226318e+02
-2.415562500000000000e+08,-1.529631431328431574e+02,-1.586347645023113273e+02,-1.503622875611648340e+02
-2.414343750000000000e+08,-1.539958801959578238e+02,-1.588768540042450184e+02,-1.511138387504871616e+02
-2.413125000000000000e+08,-1.556551761064008303e+02,-1.596260765571102240e+02,-1.524359361371554940e+02
-2.411906250000000000e+08,-1.569691600294439127e+02,-1.609903507515062984e+02,-1.538835605080535061e+02
-2.410687500000000000e+08,-1.567430561156729141e+02,-1.631126865470892540e+02,-1.546604000281620017e+02
-2.409468750000000000e+08,-1.564570578384764588e+02,-1.659704509421297018e+02,-1.550305874546684208e+02
-2.408250000000000000e+08,-1.569618441157185771e+02,-1.681446051599088491e+02,-1.552742390365019673e+02
-2.407031250000000000e+08,-1.521729070477745722e+02,-1.670105884802857190e+02,-1.511282319860603991e+02
-2.405812500000000000e+08,-1.452173895849733185e+02,-1.646554296370013617e+02,-1.448023418098155446e+02
-2.404593750000000000e+08,-1.399688427673496562e+02,-1.628818673898070415e+02,-1.397652546122469630e+02
-2.403375000000000000e+08,-1.361360606853835407e+02,-1.616459448422912146e+02,-1.360245597986510120e+02
-2.402156250000000000e+08,-1.333657651015295755e+02,-1.605374439471582093e+02,-1.333068557130521867e+02
-2.400937500000000000e+08,-1.314566607031195815e+02,-1.592816701904995966e+02,-1.314341791739500991e+02
-2.399718750000000000e+08,-1.302963332194874511e+02,-1.579510402003103877e+02,-1.303027091804990505e+02
-2.398500000000000000e+08,-1.298244764078727371e+02,-1.568040344909945532e+02,-1.298561511320889963e+02
-2.397281250000000000e+08,-1.300156840895432708e+02,-1.560422925024463154e+02,-1.300716503235079244e+02
-2.396062500000000000e+08,-1.308724427949297251e+02,-1.557531442749849759e+02,-1.309540779800333610e+02
-2.394843750000000000e+08,-1.324244877260003364e+02,-1.559421415043968011e+02,-1.325362777592539771e+02
-2.393625000000000000e+08,-1.347338773802682681e+02,-1.565579893147152006e+02,-1.348852127781925674e+02
-2.392406250000000000e+08,-1.379072964972851878e+02,-1.574932078802596607e+02,-1.381155218742008515e+02
-2.391187500000000000e+08,-1.421161666985346699e+02,-1.585678914154373160e+02,-1.424054503784801113e+02
-2.389968750000000000e+08,-1.475822134226578726e+02,-1.595168453696423398e+02,-1.479012385913221124e+02
-2.388750000000000000e+08,-1.539426792710778784e+02,-1.600493637940749068e+02,-1.533548768038185131e+02
-2.387531250000000000e+08,-1.571422296365273326e+02,-1.600569004046606096e+02,-1.543327497592493955e+02
-2.386312500000000000e+08,-1.565171802713800275e+02,-1.597640570047066433e+02,-1.532750566704784774e+02
-2.385093750000000000e+08,-1.557843740115950766e+02,-1.595487335896637546e+02,-1.526908141188413879e+02
-2.383875000000000000e+08,-1.551007569716805108e+02,-1.596720864469012895e+02,-1.525624589594937959e+02
-2.382656250000000000e+08,-1.543303962342461659e+02,-1.601073829175942365e+02,-1.527715104018502075e+02
-2.381437500000000000e+08,-1.535885249124703762e+02,-1.603510312171371197e+02,-1.532299015772680377e+02
-2.380218750000000000e+08,-1.530556006096228998e+02,-1.596523385143976270e+02,-1.538266689665152569e+02
-2.379000000000000000e+08,-1.528818216913818162e+02,-1.581321212591571168e+02,-1.545068718810748578e+02
-2.377781250000000000e+08,-1.531072657850404539e+02,-1.566043677573368598e+02,-1.552840759750483528e+02
-2.376562500000000000e+08,-1.536462221051204438e+02,-1.555559337727769389e+02,-1.561380816278567636e+02
-2.375343750000000000e+08,-1.544057898648777609e+02,-1.551172273642497146e+02,-1.570013728295545263e+02
-2.374125000000000000e+08,-1.554637915120089247e+02,-1.552768624298486770e+02,-1.578210385517611769e+02
-2.372906250000000000e+08,-1.570410552066365995e+02,-1.559624959242752595e+02,-1.583798210597241791e+02
-2.371687500000000000e+08,-1.592157960500776994e+02,-1.570342729149382990e+02,-1.582548661121024338e+02
-2.370468750000000000e+08,-1.617345668383217685e+02,-1.582360053674544247e+02,-1.576434238070728497e+02
-2.369250000000000000e+08,-1.629192297383798120e+02,-1.591740449335063090e+02,-1.569441465746120912e+02
-2.368031250000000000e+08,-1.572280798413458456e+02,-1.594692326263182167e+02,-1.546216937795197737e+02
-2.366812500000000000e+08,-1.503765745314411788e+02,-1.590171145904035939e+02,-1.499294145911736678e+02
-2.365593750000000000e+08,-1.451399947720422290e+02,-1.579683535608655802e+02,-1.452434453353361903e+02
-2.364375000000000000e+08,-1.412461400657474542e+02,-1.565281627646734819e+02,-1.415049141900117320e+02
-2.363156250000000000e+08,-1.383986386106616067e+02,-1.548997636805816569e+02,-1.387115018198791745e+02
-2.361937500000000000e+08,-1.364136038479849731e+02,-1.532881660365571008e+02,-1.367415024554470051e+02
-2.360718750000000000e+08,-1.351799712770647943e+02,-1.518734644941639544e+02,-1.354983353020170966e+02
-2.359500000000000000e+08,-1.346331686815291846e+02,-1.507901557162384734e+02,-1.349208949232672410e+02
-2.358281250000000000e+08,-1.347416326294272153e+02,-1.501313419844976522e+02,-1.349784646897764446e+02
-2.357062500000000000e+08,-1.355010011428338146e+02,-1.499643100779406382e+02,-1.356674292680322083e+02
-2.355843750000000000e+08,-1.369337463616651007e+02,-1.503459365539545161e+02,-1.370121202448743816e+02
-2.354625000000000000e+08,-1.390943838264428507e+02,-1.513357767951733308e+02,-1.390710394770524942e+02
-2.353406250000000000e+08,-1.420832894565403421e+02,-1.530105823074401883e+02,-1.419525002599374943e+02
-2.352187500000000000e+08,-1.460787150560912266e+02,-1.554832933641878867e+02,-1.458556623050191376e+02
-2.350968750000000000e+08,-1.514167082465704652e+02,-1.588251914967387393e+02,-1.512063139663561060e+02
-2.349750000000000000e+08,-1.587629956327575087e+02,-1.615910923602099842e+02,-1.587949597309980732e+02
-2.348531250000000000e+08,-1.661744559861060679e+02,-1.591587792969806401e+02,-1.590918463402085763e+02
-2.347312500000000000e+08,-1.624809429879938421e+02,-1.548406786988622912e+02,-1.527590142016806567e+02
-2.346093750000000000e+08,-1.584981275940887997e+02,-1.513552186418173733e+02,-1.484657457520870594e+02
-2.344875000000000000e+08,-1.556194897483886166e+02,-1.487725995661647005e+02,-1.454797026778972509e+02
-2.343656250000000000e+08,-1.536207463483661968e+02,-1.469664351091487902e+02,-1.434701571420621065e+02
-2.342437500000000000e+08,-1.524132272347495132e+02,-1.458497024865301341e+02,-1.422816722420708402e+02
-2.341218750000000000e+08,-1.518704096929803313e+02,-1.453587781861434678e+02,-1.418134560912086783e+02
-2.340000000000000000e+08,-1.518119655033478637e+02,-1.454293685991679581e+02,-1.419790869561049931e+02
-2.338781250000000000e+08,-1.520055834479933878e+02,-1.459687183919651829e+02,-1.426725048128470803e+02
-2.337562500000000000e+08,-1.522683512674199733e+02,-1.468246470240208339e+02,-1.437341586133065618e+02
