freq_hz,psd_desired_db_per_hz,psd_interferer_db_per_hz,psd_mixed_db_per_hz
-2.435062500000000000e+08,-2.145695229381139768e+02,-2.479159603128586014e+02,-2.144399644563197853e+02
-2.433843750000000000e+08,-2.162498768990190570e+02,-2.487645418158136579e+02,-2.161246958942772949e+02
-2.432625000000000000e+08,-2.187463022263467565e+02,-2.501142423179873902e+02,-2.186261540868986799e+02
-2.431406250000000000e+08,-2.222204956303265533e+02,-2.519545000069477396e+02,-2.221071804211288736e+02
-2.430187500000000000e+08,-2.269820714011356699e+02,-2.542154749392373674e+02,-2.268803936388665932e+02
-2.428968750000000000e+08,-2.336585224397262266e+02,-2.566362815350715891e+02,-2.335838803300842699e+02
-2.427750000000000000e+08,-2.423787458752924522e+02,-2.585144104660333255e+02,-2.423347395957359822e+02
-2.426531250000000000e+08,-2.432625814961647563e+02,-2.589626528884805339e+02,-2.430053245547372569e+02
-2.425312500000000000e+08,-2.421639127436731656e+02,-2.580766291740445126e+02,-2.417923239925875691e+02
-2.424093750000000000e+08,-2.429869319831904022e+02,-2.565910191652363892e+02,-2.424038329211348923e+02
-2.422875000000000000e+08,-2.440451197116755395e+02,-2.549191540405690262e+02,-2.431164916938908505e+02
-2.421656250000000000e+08,-2.443244584885022732e+02,-2.532420852139611043e+02,-2.430000311960579324e+02
-2.420437500000000000e+08,-2.440562086523106871e+02,-2.516988336084692435e+02,-2.423211007536983175e+02
-2.419218750000000000e+08,-2.435333921847214640e+02,-2.504041616616091801e+02,-2.414502608936001309e+02
-2.418000000000000000e+08,-2.429568692129039391e+02,-2.494342818727937754e+02,-2.406643492717032018e+02
-2.416781250000000000e+08,-2.426680631807289501e+02,-2.488338057914708656e+02,-2.402396632891226318e+02
-2.415562500000000000e+08,-2.429631431328431574e+02,-2.486347645023113273e+02,-2.403622875611648340e+02
-2.414343750000000000e+08,-2.439958801959578238e+02,-2.488768540042450184e+02,-2.411138387504871616e+02
-2.413125000000000000e+08,-2.456551761064008303e+02,-2.496260765571102240e+02,-2.424359361371554940e+02
-2.411906250000000000e+08,-2.469691600294439127e+02,-2.509903507515062984e+02,-2.438835605080535061e+02
