freq_hz,psd_desired_db_per_hz,psd_interferer_db_per_hz,psd_mixed_db_per_hz
-2.496000000000000000e+08,-2.997234926095077299e+02,-2.999999999817513299e+02,-2.997893334994458883e+02
-2.494781250000000000e+08,-2.997914085206932100e+02,-2.999999999739708869e+02,-2.998187581208041479e+02
-2.493562500000000000e+08,-2.996815869373423311e+02,-2.999999999778019628e+02,-2.996854549653131699e+02
-2.492343750000000000e+08,-2.996207799765334698e+02,-2.999999999855214128e+02,-2.996431065257816613e+02
-2.491125000000000000e+08,-2.997247949015253425e+02,-2.999999999817972025e+02,-2.997340437235984609e+02
-2.489906250000000000e+08,-2.997788091060566558e+02,-2.999999999740278440e+02,-2.997415883540703021e+02
-2.488687500000000000e+08,-2.996753694777204942e+02,-2.999999999775303650e+02,-2.996449599835893878e+02
-2.487468750000000000e+08,-2.996328185244262841e+02,-2.999999999852308292e+02,-2.996523140284873534e+02
-2.486250000000000000e+08,-2.997255601465687960e+02,-2.999999999818302854e+02,-2.997463582013625114e+02
-2.485031250000000000e+08,-2.997085770556624880e+02,-2.999999999740780936e+02,-2.996888110575686710e+02
-2.483812500000000000e+08,-2.995256959522357647e+02,-2.999999999772519459e+02,-2.995252209425461842e+02
-2.482593750000000000e+08,-2.994861601834241469e+02,-2.999999999849272854e+02,-2.995535698641732552e+02
-2.481375000000000000e+08,-2.996572868463522923e+02,-2.999999999818505216e+02,-2.997391979416851200e+02
-2.480156250000000000e+08,-2.995531336209543269e+02,-2.999999999741215788e+02,-2.995883917980247020e+02
-2.478937500000000000e+08,-2.988349442514241332e+02,-2.999999999769666488e+02,-2.988785886443627646e+02
-2.477718750000000000e+08,-2.979559085814589139e+02,-2.999999999846105538e+02,-2.980549695650679496e+02
-2.476500000000000000e+08,-2.974422675836664212e+02,-2.999999999818577976e+02,-2.975602660270632782e+02
-2.475281250000000000e+08,-2.974602017920170738e+02,-2.999999999741583565e+02,-2.975553872309432109e+02
-2.474062500000000000e+08,-2.979721527459017807e+02,-2.999999999766742462e+02,-2.980504385483786791e+02
-2.472843750000000000e+08,-2.988164306623970674e+02,-2.999999999842805778e+02,-2.988997671018771598e+02
-2.471625000000000000e+08,-2.996057462418621071e+02,-2.999999999818520564e+02,-2.996615323019408947e+02
-2.470406250000000000e+08,-2.998755991397343337e+02,-2.999999999741884267e+02,-2.998667266584471349e+02
-2.469187500000000000e+08,-2.997174491777728349e+02,-2.999999999763746814e+02,-2.997083682460484511e+02
-2.467968750000000000e+08,-2.996251528635912109e+02,-2.999999999839370730e+02,-2.996693568954373177e+02
-2.466750000000000000e+08,-2.997398531675211188e+02,-2.999999999818332981e+02,-2.997870005776511562e+02
-2.465531250000000000e+08,-2.998041058404850219e+02,-2.999999999742115619e+02,-2.997872586960587569e+02
-2.464312500000000000e+08,-2.996903524181196872e+02,-2.999999999760678975e+02,-2.996457629522333832e+02
-2.463093750000000000e+08,-2.996139657257797353e+02,-2.999999999835800963e+02,-2.996029876062879680e+02
-2.461875000000000000e+08,-2.997007876582010226e+02,-2.999999999818014089e+02,-2.997121740294361416e+02
-2.460656250000000000e+08,-2.997956615601854082e+02,-2.999999999742278760e+02,-2.998034471686574989e+02
-2.459437500000000000e+08,-2.997783665768973833e+02,-2.999999999757536671e+02,-2.998122943952578794e+02
-2.458218750000000000e+08,-2.997517620764594994e+02,-2.999999999832092499e+02,-2.998186303376903652e+02
-2.457000000000000000e+08,-2.997691519147162467e+02,-2.999999999817562184e+02,-2.997917317540054114e+02
-2.455781250000000000e+08,-2.997256078661002903e+02,-2.999999999742373120e+02,-2.996600370227786811e+02
-2.454562500000000000e+08,-2.996221909400408663e+02,-2.999999999754319333e+02,-2.995480335797398084e+02
-2.453343750000000000e+08,-2.996053688903928105e+02,-2.999999999828244768e+02,-2.996025725634885930e+02
-2.452125000000000000e+08,-2.996822866677939032e+02,-2.999999999816977265e+02,-2.997205514098352523e+02
-2.450906250000000000e+08,-2.997055525382039036e+02,-2.999999999742397563e+02,-2.997187923499668045e+02
-2.449687500000000000e+08,-2.996742746389699619e+02,-2.999999999751025257e+02,-2.996775528725893309e+02
-2.448468750000000000e+08,-2.997141021618325567e+02,-2.999999999824256065e+02,-2.997426382941075076e+02
-2.447250000000000000e+08,-2.997211161652923010e+02,-2.999999999816257628e+02,-2.997375791631926631e+02
-2.446031250000000000e+08,-2.994379035860874865e+02,-2.999999999742352088e+02,-2.994014691738208853e+02
-2.444812500000000000e+08,-2.989355788039590038e+02,-2.999999999747652737e+02,-2.988823408347010400e+02
-2.443593750000000000e+08,-2.984027021073238188e+02,-2.999999999820123548e+02,-2.983579708388670042e+02
-2.442375000000000000e+08,-2.975502348580595822e+02,-2.999999999815402134e+02,-2.974855329874047243e+02
-2.441156250000000000e+08,-2.960109475013289853e+02,-2.999999999742235559e+02,-2.959270825761904575e+02
-2.439937500000000000e+08,-2.941961018658964804e+02,-2.999999999744201205e+02,-2.941248085064700035e+02
-2.438718750000000000e+08,-2.927756369230193627e+02,-2.999999999815845513e+02,-2.927171922722559998e+02
-2.437500000000000000e+08,-2.920872568091424455e+02,-2.999999999814409648e+02,-2.920222457105161311e+02
-2.436281250000000000e+08,-2.922333849826803771e+02,-2.999999999742046839e+02,-2.921489782013570107e+02
-2.435062500000000000e+08,-2.932223757344011119e+02,-2.999999999740668386e+02,-2.931236180846678394e+02
-2.433843750000000000e+08,-2.949553282740056375e+02,-2.999999999811419684e+02,-2.948638889288968699e+02
-2.432625000000000000e+08,-2.970240190695635079e+02,-2.999999999813277896e+02,-2.969621077782940120e+02
-2.431406250000000000e+08,-2.985655859652167692e+02,-2.999999999741786496e+02,-2.985337701968936699e+02
-2.430187500000000000e+08,-2.991665035595660811e+02,-2.999999999737052576e+02,-2.991687785802474195e+02
-2.428968750000000000e+08,-2.994362129590352879e+02,-2.999999999806843789e+02,-2.994787432983483768e+02
-2.427750000000000000e+08,-2.997299550247321349e+02,-2.999999999812006308e+02,-2.997691805555250539e+02
-2.426531250000000000e+08,-2.998489512897000964e+02,-2.999999999741452825e+02,-2.998447378141841568e+02
-2.425312500000000000e+08,-2.997291714016445212e+02,-2.999999999733352638e+02,-2.997249095324006589e+02
-2.424093750000000000e+08,-2.996207111960223983e+02,-2.999999999802115553e+02,-2.996553141866822898e+02
-2.422875000000000000e+08,-2.996512522232505376e+02,-2.999999999810591476e+02,-2.996807265883045375e+02
-2.421656250000000000e+08,-2.997271542594488665e+02,-2.999999999741044689e+02,-2.997067784061830480e+02
-2.420437500000000000e+08,-2.997775624786535218e+02,-2.999999999729566866e+02,-2.997498533984243636e+02
-2.419218750000000000e+08,-2.998251612104120909e+02,-2.999999999797230998e+02,-2.998387477556405543e+02
-2.418000000000000000e+08,-2.998365115153382590e+02,-2.999999999809033966e+02,-2.998517860770278958e+02
-2.416781250000000000e+08,-2.997504187960352624e+02,-2.999999999740561520e+02,-2.997226475312815523e+02
-2.415562500000000000e+08,-2.996381629397201323e+02,-2.999999999725692987e+02,-2.996124042045854594e+02
-2.414343750000000000e+08,-2.996165701545272100e+02,-2.999999999792188987e+02,-2.996410847741828434e+02
-2.413125000000000000e+08,-2.996607130834744339e+02,-2.999999999807329800e+02,-2.996954005514911614e+02
-2.411906250000000000e+08,-2.996661228605742622e+02,-2.999999999740002181e+02,-2.996574564365416791e+02
-2.410687500000000000e+08,-2.996458193466540934e+02,-2.999999999721729864e+02,-2.996294338082754507e+02
-2.409468750000000000e+08,-2.996911379010607561e+02,-2.999999999786986109e+02,-2.997179431097213751e+02
-2.408250000000000000e+08,-2.997589490990235959e+02,-2.999999999805477842e+02,-2.997904446047256215e+02
-2.407031250000000000e+08,-2.996538196504548637e+02,-2.999999999739366103e+02,-2.996282735449542542e+02
-2.405812500000000000e+08,-2.992788874225649352e+02,-2.999999999717675223e+02,-2.992373259092059925e+02
-2.404593750000000000e+08,-2.988004074183708667e+02,-2.999999999781619522e+02,-2.988199075115257415e+02
-2.403375000000000000e+08,-2.984766078196532249e+02,-2.999999999803475816e+02,-2.985598544506384542e+02
-2.402156250000000000e+08,-2.984093837804562668e+02,-2.999999999738650445e+02,-2.984963525024671753e+02
-2.400937500000000000e+08,-2.983900184695713165e+02,-2.999999999713526790e+02,-2.983987157530368677e+02
-2.399718750000000000e+08,-2.980061940657280957e+02,-2.999999999776085247e+02,-2.978782166244172913e+02
-2.398500000000000000e+08,-2.972291451154986817e+02,-2.999999999801320314e+02,-2.970006867843433156e+02
-2.397281250000000000e+08,-2.965703779889078078e+02,-2.999999999737855774e+02,-2.963397689365765473e+02
-2.396062500000000000e+08,-2.964897690570676332e+02,-2.999999999709282292e+02,-2.963432984617678585e+02
-2.394843750000000000e+08,-2.971156508654574964e+02,-2.999999999770381010e+02,-2.970980848607497364e+02
-2.393625000000000000e+08,-2.982284464672812305e+02,-2.999999999799010766e+02,-2.983097394312231359e+02
-2.392406250000000000e+08,-2.992654593363449180e+02,-2.999999999736980385e+02,-2.993375512817632966e+02
-2.391187500000000000e+08,-2.997304970899592149e+02,-2.999999999704940592e+02,-2.997494106733823855e+02
-2.389968750000000000e+08,-2.997495345633358284e+02,-2.999999999764502832e+02,-2.997671660824473179e+02
-2.388750000000000000e+08,-2.996887188476426331e+02,-2.999999999796542625e+02,-2.997024139922312429e+02
-2.387531250000000000e+08,-2.996999170710651015e+02,-2.999999999736021437e+02,-2.996767710623915377e+02
-2.386312500000000000e+08,-2.997657837595493788e+02,-2.999999999700498847e+02,-2.997332217145318509e+02
-2.385093750000000000e+08,-2.997841252942997698e+02,-2.999999999758447871e+02,-2.997847482440275257e+02
-2.383875000000000000e+08,-2.996785664122822368e+02,-2.999999999793914753e+02,-2.996903897799380161e+02
-2.382656250000000000e+08,-2.995461236442311019e+02,-2.999999999734979497e+02,-2.995431301858497477e+02
-2.381437500000000000e+08,-2.995547879866636549e+02,-2.999999999695954784e+02,-2.995735680284228692e+02
-2.380218750000000000e+08,-2.997006918325857896e+02,-2.999999999752211579e+02,-2.997684403670661482e+02
-2.379000000000000000e+08,-2.998114050448316448e+02,-2.999999999791122605e+02,-2.998673483832033071e+02
-2.377781250000000000e+08,-2.998099872295954924e+02,-2.999999999733852292e+02,-2.997925044907704546e+02
-2.376562500000000000e+08,-2.997886219460742723e+02,-2.999999999691305561e+02,-2.997410316223561040e+02
-2.375343750000000000e+08,-2.997724266484236750e+02,-2.999999999745791115e+02,-2.997616665817623698e+02
-2.374125000000000000e+08,-2.996877783849088246e+02,-2.999999999788163905e+02,-2.996992571117271495e+02
-2.372906250000000000e+08,-2.995822057775421285e+02,-2.999999999732637548e+02,-2.995741658486982715e+02
-2.371687500000000000e+08,-2.995967793997257331e+02,-2.999999999686549472e+02,-2.995890589633715990e+02
-2.370468750000000000e+08,-2.997131845277444313e+02,-2.999999999739180794e+02,-2.997390602632351033e+02
-2.369250000000000000e+08,-2.997477309398977354e+02,-2.999999999785035811e+02,-2.997772284906588993e+02
-2.368031250000000000e+08,-2.996250236606852582e+02,-2.999999999731333560e+02,-2.996187258656805739e+02
-2.366812500000000000e+08,-2.994509734829691752e+02,-2.999999999681683676e+02,-2.994381456752948338e+02
