freq_hz,psd_desired_dBm_per_MHz,psd_interferer_dBm_per_MHz,psd_mixed_dBm_per_MHz
-2.436281250000000000e+08,-2.022333849826803771e+02,-2.099999999885984607e+02,-2.021491191177709084e+02
-2.435062500000000000e+08,-2.032223757344011119e+02,-2.099999999974019147e+02,-2.031236888401376746e+02
-2.433843750000000000e+08,-2.049553282740056375e+02,-2.099999999919363631e+02,-2.048638380124488663e+02
-2.432625000000000000e+08,-2.070240190695635079e+02,-2.099999999841071485e+02,-2.069619973632861161e+02
-2.431406250000000000e+08,-2.085655859652167692e+02,-2.099999999897841576e+02,-2.085337389959769325e+02
-2.430187500000000000e+08,-2.091665035595660811e+02,-2.099999999969857640e+02,-2.091687796745595165e+02
-2.428968750000000000e+08,-2.094362129590352879e+02,-2.099999999902215109e+02,-2.094787167309519873e+02
-2.427750000000000000e+08,-2.097299550247321349e+02,-2.099999999822355221e+02,-2.097692255508599146e+02
-2.426531250000000000e+08,-2.098489512897000964e+02,-2.099999999888738671e+02,-2.098448515152646223e+02
-2.425312500000000000e+08,-2.097291714016445212e+02,-2.099999999969096507e+02,-2.097249409120909718e+02
-2.424093750000000000e+08,-2.096207111960223983e+02,-2.099999999899624754e+02,-2.096552716231843192e+02
-2.422875000000000000e+08,-2.096512522232505376e+02,-2.099999999814857574e+02,-2.096807662632086249e+02
-2.421656250000000000e+08,-2.097271542594488665e+02,-2.099999999883674491e+02,-2.097069111656957148e+02
-2.420437500000000000e+08,-2.097775624786535218e+02,-2.099999999970781346e+02,-2.097499342202180515e+02
-2.419218750000000000e+08,-2.098251612104120909e+02,-2.099999999902894956e+02,-2.098387640485036627e+02
-2.418000000000000000e+08,-2.098365115153382590e+02,-2.099999999814625085e+02,-2.098518655352074802e+02
-2.416781250000000000e+08,-2.097504187960352624e+02,-2.099999999881360964e+02,-2.097227727703424307e+02
-2.415562500000000000e+08,-2.096381629397201323e+02,-2.099999999968084694e+02,-2.096124437412188399e+02
-2.414343750000000000e+08,-2.096165701545272100e+02,-2.099999999898041096e+02,-2.096410687780783633e+02
-2.413125000000000000e+08,-2.096607130834744339e+02,-2.099999999808156872e+02,-2.096954791212867235e+02
-2.411906250000000000e+08,-2.096661228605742622e+02,-2.099999999877484811e+02,-2.096576083965463226e+02
-2.410687500000000000e+08,-2.096458193466540934e+02,-2.099999999967196800e+02,-2.096295057810057756e+02
-2.409468750000000000e+08,-2.096911379010607561e+02,-2.099999999895545670e+02,-2.097179509735016154e+02
-2.408250000000000000e+08,-2.097589490990235959e+02,-2.099999999802968773e+02,-2.097905417949166349e+02
-2.407031250000000000e+08,-2.096538196504548637e+02,-2.099999999873883212e+02,-2.096284339506453307e+02
-2.405812500000000000e+08,-2.092788874225649352e+02,-2.099999999966475457e+02,-2.092373841965172119e+02
-2.404593750000000000e+08,-2.088004074183708667e+02,-2.099999999893997824e+02,-2.088198746762083715e+02
-2.403375000000000000e+08,-2.084766078196532249e+02,-2.099999999799626380e+02,-2.085598452473159341e+02
-2.402156250000000000e+08,-2.084093837804562668e+02,-2.099999999871674845e+02,-2.084963598538079168e+02
-2.400937500000000000e+08,-2.083900184695713165e+02,-2.099999999964581434e+02,-2.083986710706323606e+02
-2.399718750000000000e+08,-2.080061940657280957e+02,-2.099999999888411821e+02,-2.078782020284086798e+02
-2.398500000000000000e+08,-2.072291451154986817e+02,-2.099999999792431709e+02,-2.070008009458382503e+02
-2.397281250000000000e+08,-2.065703779889078078e+02,-2.099999999869444878e+02,-2.063399364182311615e+02
-2.396062500000000000e+08,-2.064897690570676332e+02,-2.099999999965672259e+02,-2.063434028461693401e+02
-2.394843750000000000e+08,-2.071156508654574964e+02,-2.099999999882658130e+02,-2.070980990424511674e+02
-2.393625000000000000e+08,-2.082284464672812305e+02,-2.099999999776705408e+02,-2.083097464058210448e+02
-2.392406250000000000e+08,-2.092654593363449180e+02,-2.099999999853725399e+02,-2.093376012654970850e+02
-2.391187500000000000e+08,-2.097304970899592149e+02,-2.099999999960336936e+02,-2.097494003665302102e+02
-2.389968750000000000e+08,-2.097495345633358284e+02,-2.099999999888299271e+02,-2.097671145294448252e+02
-2.388750000000000000e+08,-2.096887188476426331e+02,-2.099999999788124683e+02,-2.097024771599864721e+02
-2.387531250000000000e+08,-2.096999170710651015e+02,-2.099999999864186293e+02,-2.096769244323414227e+02
-2.386312500000000000e+08,-2.097657837595493788e+02,-2.099999999960526793e+02,-2.097332958589053646e+02
-2.385093750000000000e+08,-2.097841252942997698e+02,-2.099999999872556486e+02,-2.097847525794553576e+02
-2.383875000000000000e+08,-2.096785664122822368e+02,-2.099999999764884819e+02,-2.096904935557448653e+02
-2.382656250000000000e+08,-2.095461236442311019e+02,-2.099999999849806045e+02,-2.095433108385457217e+02
-2.381437500000000000e+08,-2.095547879866636549e+02,-2.099999999959559318e+02,-2.095736513859666275e+02
-2.380218750000000000e+08,-2.097006918325857896e+02,-2.099999999873928687e+02,-2.097684208486646753e+02
-2.379000000000000000e+08,-2.098114050448316448e+02,-2.099999999759596676e+02,-2.098674010210576171e+02
-2.377781250000000000e+08,-2.098099872295954924e+02,-2.099999999841372187e+02,-2.097926414902926808e+02
-2.376562500000000000e+08,-2.097886219460742723e+02,-2.099999999954395662e+02,-2.097411008098343927e+02
-2.375343750000000000e+08,-2.097724266484236750e+02,-2.099999999872914032e+02,-2.097616802097774666e+02
-2.374125000000000000e+08,-2.096877783849088246e+02,-2.099999999762596872e+02,-2.096993677941252372e+02
-2.372906250000000000e+08,-2.095822057775421285e+02,-2.099999999849007963e+02,-2.095743384461668484e+02
-2.371687500000000000e+08,-2.095967793997257331e+02,-2.099999999961519279e+02,-2.095891259055119917e+02
-2.370468750000000000e+08,-2.097131845277444313e+02,-2.099999999870703959e+02,-2.097390451357823622e+02
-2.369250000000000000e+08,-2.097477309398977354e+02,-2.099999999750712050e+02,-2.097773222445687793e+02
-2.368031250000000000e+08,-2.096250236606852582e+02,-2.099999999836484790e+02,-2.096189099280609867e+02
-2.366812500000000000e+08,-2.094509734829691752e+02,-2.099999999954292207e+02,-2.094382254622004780e+02
-2.365593750000000000e+08,-2.093184896813189084e+02,-2.099999999868506393e+02,-2.093377470423532714e+02
-2.364375000000000000e+08,-2.092848738137420241e+02,-2.099999999755528393e+02,-2.093188413389106586e+02
-2.363156250000000000e+08,-2.094119196935714626e+02,-2.099999999849419510e+02,-2.094289377782293400e+02
-2.361937500000000000e+08,-2.095656064991948142e+02,-2.099999999962269612e+02,-2.095649158619828540e+02
-2.360718750000000000e+08,-2.093286507336117097e+02,-2.099999999850698487e+02,-2.092985509087538389e+02
-2.359500000000000000e+08,-2.086254589529695522e+02,-2.099999999709712597e+02,-2.085368165143507895e+02
-2.358281250000000000e+08,-2.080142725272144730e+02,-2.099999999799251782e+02,-2.078903372765898325e+02
-2.357062500000000000e+08,-2.079571044968627689e+02,-2.099999999932282435e+02,-2.078628472241435361e+02
-2.355843750000000000e+08,-2.084475697046847245e+02,-2.099999999845159095e+02,-2.084355368602457474e+02
-2.354625000000000000e+08,-2.090949313717513860e+02,-2.099999999720203050e+02,-2.091453683946614319e+02
-2.353406250000000000e+08,-2.095018233269367443e+02,-2.099999999819631284e+02,-2.095401868532239860e+02
-2.352187500000000000e+08,-2.096739236814894412e+02,-2.099999999958766921e+02,-2.096910682187121893e+02
-2.350968750000000000e+08,-2.097531957177795334e+02,-2.099999999871639602e+02,-2.097830736546122807e+02
