time_us,I,Q
1.312500000000000000e+00,-2.053818828101818695e-06,7.520160947143281885e-06
1.318750000000000089e+00,-6.573863387729825745e-06,9.382687649436672966e-06
1.324999999999999956e+00,5.610122472118463559e-06,-9.450573772009950022e-06
1.331250000000000044e+00,-7.644691877965816525e-06,2.396980033762757379e-06
1.337499999999999911e+00,-2.233189130282671391e-05,1.294480996976794991e-05
1.343750000000000000e+00,-1.035771777428754931e-05,-3.759061880169408637e-06
1.350000000000000089e+00,-1.812121040561392332e-05,1.385611448779623969e-05
1.356249999999999956e+00,-5.845468877602945846e-06,-3.345203517865789005e-05
1.362500000000000044e+00,-2.494653098019583833e-05,-1.546784993641488122e-05
1.368750000000000133e+00,-2.305279565436887297e-05,-3.406839570176271269e-06
1.375000000000000000e+00,-1.743115838560833588e-05,7.601504251820218686e-07
1.381249999999999867e+00,-6.666559584661314807e-06,1.350948524681602990e-05
1.387499999999999956e+00,-9.587534882064817726e-06,-2.807474066421176927e-06
1.393750000000000044e+00,3.307759065539485413e-06,-1.205571817696582118e-05
1.399999999999999911e+00,-5.615705614237795721e-07,-4.626978220357609792e-06
1.406250000000000000e+00,-1.363282015763359876e-06,-3.259970097362162882e-06
1.412500000000000089e+00,6.403273680585155333e-06,-2.932694681711932011e-06
1.418749999999999956e+00,3.670085286123641409e-06,-1.372561836543501828e-05
1.424999999999999822e+00,1.917662410265240499e-05,-1.109374162651649040e-05
1.431250000000000133e+00,-1.284614928305878988e-05,-4.507910549013646241e-06
1.437500000000000000e+00,-1.011506557524398456e-06,6.611851518689833648e-06
1.443749999999999867e+00,-9.119444073163839449e-06,1.233149406474056352e-05
1.450000000000000178e+00,-1.955108015434458031e-05,-2.998807837748959594e-06
1.456250000000000044e+00,-9.377893440275599486e-07,2.305656582486315044e-05
1.462499999999999911e+00,-6.044682254848224846e-06,-2.328521687874426739e-05
1.468750000000000000e+00,-2.073443356639258797e-05,-1.297278281701335384e-06
1.475000000000000089e+00,-1.940210425140144828e-05,7.327267653213800012e-06
1.481249999999999956e+00,1.346777036279977263e-05,-1.390916132179756997e-05
1.487500000000000044e+00,-2.160377121501520935e-05,-1.435164325297660076e-05
1.493750000000000133e+00,-2.346367134339190630e-06,-3.707377885992645110e-06
1.500000000000000000e+00,-1.396559653796778024e-05,1.224378344368238135e-05
1.506250000000000089e+00,-3.575826382940197504e-05,1.006190801850190454e-05
1.512499999999999956e+00,1.509160178184406416e-05,-5.983132919897422119e-06
1.518750000000000044e+00,1.447724548967393691e-05,-1.985277873303954515e-05
1.524999999999999911e+00,2.491425401539504113e-05,1.189608934106022287e-05
1.531250000000000000e+00,3.858738703764992197e-06,1.439016090622827723e-05
1.537500000000000089e+00,-9.030239224737463669e-06,1.740755786985981928e-05
1.543749999999999956e+00,-1.420377813779094503e-05,-1.614451248549254674e-05
1.550000000000000044e+00,1.259455914647350022e-05,4.075936631878955729e-06
1.556249999999999911e+00,1.793079929626283296e-05,1.094737481493035972e-05
1.562500000000000000e+00,-1.926276764880462624e-05,1.240292388626924796e-06
1.568750000000000089e+00,-1.102871707976218881e-05,1.255285318914176541e-05
1.574999999999999956e+00,-2.590380397923644607e-05,-2.294779783089280817e-05
1.581249999999999822e+00,-1.127452593043924169e-05,-3.233645344834256301e-06
1.587500000000000133e+00,-3.248171346358496226e-06,1.963083492536745867e-06
1.593750000000000000e+00,-2.601681437310079779e-05,2.188460262458562403e-06
1.599999999999999867e+00,-5.786569444088890511e-06,-2.222396306205520728e-05
1.606250000000000178e+00,-9.396144821313972648e-06,-1.339666113181220436e-06
1.612500000000000044e+00,-1.392414864863313393e-05,1.179339488155390702e-05
1.618749999999999911e+00,1.856535302939831293e-05,-2.227927862965768779e-05
1.625000000000000000e+00,1.526249892045214988e-05,1.391332009820162106e-05
1.631250000000000089e+00,1.094874559805726230e-05,-5.330017932353113677e-06
1.637499999999999956e+00,-1.484307381913597148e-07,1.451216501904457426e-05
1.643749999999999822e+00,1.970255618616837843e-05,9.046777903851834280e-06
1.650000000000000133e+00,1.348602221198053331e-05,8.540906379091932926e-06
1.656250000000000000e+00,-1.140552352574162436e-06,2.190492835491256223e-05
1.662499999999999867e+00,-2.502748538456994900e-06,6.603124020603685286e-06
1.668749999999999956e+00,-1.473927328710973464e-05,8.086323325887961362e-06
1.675000000000000044e+00,4.405682885923576265e-05,1.231086526854090333e-05
1.681249999999999911e+00,2.033298220252717763e-05,1.729136700500579350e-05
1.687500000000000000e+00,-1.428654506081160485e-05,-2.619440228519422806e-05
1.693750000000000089e+00,-1.028938450349272109e-05,-1.520988546895129261e-05
1.699999999999999956e+00,-1.635626868215547046e-05,-2.363436354906274486e-06
1.706250000000000044e+00,2.495246149671375109e-06,-1.120758458781341861e-05
1.712499999999999911e+00,-1.939276244766487332e-06,8.455958071064387276e-06
1.718750000000000000e+00,2.186278801421803143e-06,-1.421615232761940122e-05
1.725000000000000089e+00,-5.247099939910702731e-06,-2.559953612379756467e-05
1.731249999999999956e+00,-2.496966494106258786e-06,-1.141147046361821550e-05
1.737500000000000044e+00,1.349094804516780271e-05,-2.449933147114234360e-05
1.743750000000000133e+00,1.108358593634217916e-05,5.092793003719013975e-06
1.750000000000000000e+00,1.473310472412771330e-05,-3.603122050517891202e-06
1.756249999999999867e+00,1.612393438557757272e-05,-1.155254438460192194e-05
1.762499999999999956e+00,-1.779150925816322680e-05,-8.798653962204138119e-06
1.768750000000000044e+00,7.249264796723393220e-06,8.106955782400261562e-06
1.774999999999999911e+00,3.645134525578178582e-06,6.538700570126138369e-06
1.781250000000000000e+00,2.471796352252438110e-05,6.765645466518237244e-06
1.787500000000000089e+00,2.147023767389139761e-05,2.309030023253014587e-05
1.793749999999999956e+00,-1.077998443461224578e-05,-9.282213271503806734e-07
1.799999999999999822e+00,8.328672323883020898e-06,-1.259079296123616802e-05
1.806250000000000133e+00,-4.758466348563844164e-06,1.843828937594342130e-06
1.812500000000000000e+00,3.035008661481280784e-05,2.615676022443655881e-05
1.818749999999999867e+00,-2.037410033524820896e-05,8.777313641004488902e-06
1.825000000000000178e+00,-7.122971957355101677e-06,-2.669821286499152036e-06
1.831250000000000044e+00,-7.988621510463945720e-06,1.108909362204231374e-05
1.837499999999999911e+00,-1.507965985076489156e-05,2.481758850876705484e-05
1.843750000000000000e+00,4.015114223692175345e-05,1.509281121858257018e-05
1.850000000000000089e+00,-5.359131784383024658e-07,8.921836968915121819e-06
1.856249999999999956e+00,1.338852642575433689e-06,-7.932757341197026467e-06
1.862500000000000044e+00,-7.101780373730214590e-06,-1.260814637376575083e-06
1.868749999999999911e+00,-9.334385707432365506e-07,-4.912259506022921588e-07
1.875000000000000000e+00,3.286813685708965061e-05,-5.666419381437050761e-06
1.881250000000000089e+00,-2.508082643606920708e-05,-4.373244995857791501e-07
1.887499999999999956e+00,8.277784116201736726e-07,-1.513094266238368582e-05
1.893750000000000044e+00,-2.227843602920917410e-05,1.084909380759068531e-05
1.899999999999999911e+00,-1.077129615156517068e-05,1.573892073993766986e-05
1.906250000000000000e+00,2.102283942584768590e-05,3.427988649326190961e-06
1.912499999999999867e+00,-5.315217643250434712e-06,-1.763191404623976033e-05
1.918749999999999956e+00,1.976619983528455743e-05,-1.647925717524079548e-05
1.925000000000000266e+00,-6.434796488159867054e-06,-4.159056972413351127e-06
1.931249999999999911e+00,-1.835577687510846315e-06,-2.509095058120687697e-05
