time_us,I,Q
5.749999999999999556e-01,5.654007169408531430e-02,3.447144343881262951e-02
5.812500000000000444e-01,-3.866802622554917686e-03,1.123430577639202149e-01
5.875000000000000222e-01,-5.595387983975082941e-02,1.997547102548047349e-02
5.937500000000000000e-01,-1.557490356674280088e-03,-3.541402960835713515e-02
5.999999999999999778e-01,3.388797278571726440e-02,-9.417890547985040273e-02
6.062500000000000666e-01,1.473624380877741891e-01,1.232490417662490949e-04
6.124999999999999334e-01,8.348522074716600849e-02,-1.984793219502914430e-02
6.187500000000000222e-01,-3.413915916572637238e-02,-2.152546323046789292e-02
6.250000000000000000e-01,7.426735762676077955e-03,2.540586736084819025e-02
6.312499999999999778e-01,4.067904828897274394e-02,-1.449290103311121347e-01
6.375000000000000666e-01,5.763975795045122447e-02,4.950226120146393460e-02
6.437499999999999334e-01,4.168047911039426956e-02,-8.163195962315689114e-02
6.500000000000000222e-01,3.104533271184590701e-02,-6.602836653395969223e-03
6.562500000000000000e-01,3.975031710663481585e-03,1.302305861011148272e-02
6.624999999999999778e-01,-5.658650388337221893e-02,-9.064773165440900837e-02
6.687499999999999556e-01,-6.056204224534883669e-03,1.438777971014914003e-01
6.750000000000000444e-01,-7.295243060374231869e-02,5.237038084388644793e-02
6.812500000000000222e-01,9.243029879717214181e-02,6.463097473532822268e-02
6.875000000000000000e-01,6.539128436570726399e-02,4.866143113929978503e-02
6.937499999999999778e-01,9.553597377010372704e-02,-2.148421550777331393e-02
6.999999999999999556e-01,6.600752826290828823e-02,-4.333621628928898545e-02
7.062500000000000444e-01,-3.166257410444200948e-02,5.555330187412349519e-02
7.124999999999999112e-01,-8.994868430446396890e-02,-5.587746786961556023e-02
7.187500000000000000e-01,-8.145478373219842971e-02,3.830427834592159408e-02
7.250000000000000888e-01,-2.616800808138605369e-02,9.658837291930683078e-02
7.312499999999999556e-01,1.284263840125627332e-01,4.497887412072588964e-02
7.375000000000000444e-01,5.215840400135714205e-02,-2.392506159367983193e-02
7.437500000000000222e-01,-7.894969268643609039e-02,4.427810114666598518e-02
7.500000000000000000e-01,1.531407408481277876e-01,8.933094666372456971e-02
7.562499999999999778e-01,8.349481845828243126e-03,-1.869758281827327284e-02
7.624999999999999556e-01,1.832203685011096761e-02,4.810301100369133304e-02
7.687500000000000444e-01,-2.844081101736072384e-02,4.227865978461373131e-02
7.750000000000000222e-01,-5.077049914639395617e-02,5.064338628688513227e-02
7.812500000000000000e-01,7.657674210097448197e-02,7.081376875202240184e-02
7.874999999999999778e-01,4.546094456765665398e-02,3.097681994851672529e-03
7.937500000000000666e-01,-3.722362433966045717e-03,-1.037826942731671226e-01
7.999999999999999334e-01,4.573335287295054313e-02,3.291415547674469977e-02
8.062500000000000222e-01,-7.293418811754996851e-03,1.914146803195771254e-02
8.125000000000000000e-01,-8.235576049720949240e-03,6.215413906241601394e-02
8.187499999999999778e-01,7.125077278608483132e-03,-1.791685030146957999e-02
8.250000000000000666e-01,1.218001737570009874e-01,3.805259479789015187e-02
8.312499999999999334e-01,6.607431422708746893e-02,5.732888159308592579e-02
8.375000000000000222e-01,4.737933959448970000e-02,-6.679618736961923098e-02
8.437500000000000000e-01,2.494161086110260189e-02,-8.814214806823254811e-02
8.499999999999999778e-01,2.819563306290637922e-02,1.559260046722305525e-02
8.562499999999999556e-01,8.531082633240977264e-02,-2.180651276100138355e-02
8.625000000000000444e-01,-4.228296084821316081e-03,3.307081880910778260e-02
8.687500000000000222e-01,3.026020487776777748e-02,9.417860687713569545e-02
8.750000000000000000e-01,-1.176911821166850142e-01,-1.383192563290224497e-01
8.812499999999999778e-01,-4.551816494787432055e-02,-2.016103570997052757e-02
8.874999999999999556e-01,9.199028131715985060e-03,4.639475227967911064e-02
8.937500000000000444e-01,-4.175297652502913542e-02,6.338099635013016986e-02
8.999999999999999112e-01,-3.315583099296121744e-02,5.295490766563033802e-02
9.062500000000000000e-01,7.232469694652979286e-02,-3.436492280084375850e-02
9.125000000000000888e-01,1.646199054897706099e-02,-6.561941429060288988e-03
9.187499999999999556e-01,1.604385369579374929e-02,-8.774372931166467271e-02
9.250000000000000444e-01,4.972832193112423915e-02,1.617262594587941943e-02
9.312500000000000222e-01,2.905683399025085767e-02,-3.892967338790709331e-02
9.375000000000000000e-01,4.763682357977488263e-02,-1.356920583961279125e-01
9.437499999999999778e-01,4.338280866622151039e-02,-1.234250120071658102e-02
9.499999999999999556e-01,1.035018069219606311e-02,-7.185239814944471837e-02
9.562499999999999334e-01,1.112467604417104045e-01,3.593691467813643625e-02
9.625000000000001332e-01,1.311601259165178224e-01,-4.223021306968717525e-02
