freq_offset_mhz,psd_dbfs_per_hz
-7.230468750000000000e+01,-1.797360856540336442e+02
-7.226562500000000000e+01,-1.796587199107860044e+02
-7.222656250000000000e+01,-1.796240646233479481e+02
-7.218750000000000000e+01,-1.794853310472189207e+02
-7.214843750000000000e+01,-1.793146686561787533e+02
-7.210937500000000000e+01,-1.792851516734185964e+02
-7.207031250000000000e+01,-1.793537446434421838e+02
-7.203125000000000000e+01,-1.793268383007922750e+02
-7.199218750000000000e+01,-1.791501040286798343e+02
-7.195312500000000000e+01,-1.789113566561620701e+02
-7.191406250000000000e+01,-1.786496201795423815e+02
-7.187500000000000000e+01,-1.784044803849094762e+02
-7.183593750000000000e+01,-1.782717278431911438e+02
-7.179687500000000000e+01,-1.782660833382233250e+02
-7.175781250000000000e+01,-1.782784452362475918e+02
-7.171875000000000000e+01,-1.782288092172533140e+02
-7.167968750000000000e+01,-1.781224870156231646e+02
-7.164062500000000000e+01,-1.779600276668340086e+02
-7.160156250000000000e+01,-1.777972705208029538e+02
-7.156250000000000000e+01,-1.777241695179928342e+02
-7.152343750000000000e+01,-1.776997977634124766e+02
-7.148437500000000000e+01,-1.776102403856779972e+02
-7.144531250000000000e+01,-1.774568788599050606e+02
-7.140625000000000000e+01,-1.773197802053061309e+02
-7.136718750000000000e+01,-1.771995246953037224e+02
-7.132812500000000000e+01,-1.771033796025817537e+02
-7.128906250000000000e+01,-1.771012180682349424e+02
-7.125000000000000000e+01,-1.771231971608238496e+02
-7.121093750000000000e+01,-1.770290692865369238e+02
-7.117187500000000000e+01,-1.768384460468207919e+02
-7.113281250000000000e+01,-1.766437752212137013e+02
-7.109375000000000000e+01,-1.765482421495817675e+02
-7.105468750000000000e+01,-1.765952048437796407e+02
-7.101562500000000000e+01,-1.766467569270224942e+02
-7.097656250000000000e+01,-1.765747544976702557e+02
-7.093750000000000000e+01,-1.764201598463772029e+02
-7.089843750000000000e+01,-1.762775472049727910e+02
-7.085937500000000000e+01,-1.762180732131854484e+02
-7.082031250000000000e+01,-1.762039257335538878e+02
-7.078125000000000000e+01,-1.761303856652743320e+02
-7.074218750000000000e+01,-1.760024759969226125e+02
-7.070312500000000000e+01,-1.759040030154540375e+02
-7.066406250000000000e+01,-1.758203570156123874e+02
-7.062500000000000000e+01,-1.756804143809659990e+02
-7.058593750000000000e+01,-1.755639221269369159e+02
-7.054687500000000000e+01,-1.755707533380030156e+02
-7.050781250000000000e+01,-1.755997762223711334e+02
-7.046875000000000000e+01,-1.754863696936212705e+02
-7.042968750000000000e+01,-1.752688060229723703e+02
-7.039062500000000000e+01,-1.751522015754571555e+02
-7.035156250000000000e+01,-1.751953759783055489e+02
-7.031250000000000000e+01,-1.752446023933110837e+02
-7.027343750000000000e+01,-1.751792373744760027e+02
-7.023437500000000000e+01,-1.750556878817278630e+02
-7.019531250000000000e+01,-1.750250161334923291e+02
-7.015625000000000000e+01,-1.751213882827353530e+02
-7.011718750000000000e+01,-1.751688634571898433e+02
-7.007812500000000000e+01,-1.750259358505004457e+02
-7.003906250000000000e+01,-1.748217148255418181e+02
-7.000000000000000000e+01,-1.747271801902893458e+02
-6.996093750000000000e+01,-1.746734913879587054e+02
-6.992187500000000000e+01,-1.745727236753776310e+02
-6.988281250000000000e+01,-1.745103103116750560e+02
-6.984375000000000000e+01,-1.744600624006069438e+02
-6.980468750000000000e+01,-1.743325218290972316e+02
-6.976562500000000000e+01,-1.742118636814419688e+02
-6.972656250000000000e+01,-1.741611166208525674e+02
-6.968750000000000000e+01,-1.741457081634926567e+02
-6.964843750000000000e+01,-1.741631886421404829e+02
-6.960937500000000000e+01,-1.741661044348219889e+02
-6.957031250000000000e+01,-1.740533634927926414e+02
-6.953125000000000000e+01,-1.739072367233074772e+02
-6.949218750000000000e+01,-1.739022577612348641e+02
-6.945312500000000000e+01,-1.739990753395193224e+02
