freq_offset_mhz,psd_dbfs_per_hz
-7.578125000000000000e+01,-1.019455074812395878e+02
-7.574218750000000000e+01,-1.018433123401781870e+02
-7.570312500000000000e+01,-1.017941168525481430e+02
-7.566406250000000000e+01,-1.017743586119642742e+02
-7.562500000000000000e+01,-1.017407333452121065e+02
-7.558593750000000000e+01,-1.017963045754530214e+02
-7.554687500000000000e+01,-1.019498334446385002e+02
-7.550781250000000000e+01,-1.019951142849131287e+02
-7.546875000000000000e+01,-1.019055668095258227e+02
-7.542968750000000000e+01,-1.018527295815094789e+02
-7.539062500000000000e+01,-1.018328823340723090e+02
-7.535156250000000000e+01,-1.018049610119167170e+02
-7.531250000000000000e+01,-1.018109040023291811e+02
-7.527343750000000000e+01,-1.017992765296781954e+02
-7.523437500000000000e+01,-1.017576760524227666e+02
-7.519531250000000000e+01,-1.017518205973868959e+02
-7.515625000000000000e+01,-1.017787089879822986e+02
-7.511718750000000000e+01,-1.018588489905766181e+02
-7.507812500000000000e+01,-1.020095043787890177e+02
-7.503906250000000000e+01,-1.021199074172527901e+02
-7.500000000000000000e+01,-1.020788561458193158e+02
-7.496093750000000000e+01,-1.019653298770447094e+02
-7.492187500000000000e+01,-1.019138979470423578e+02
-7.488281250000000000e+01,-1.019088112694866766e+02
-7.484375000000000000e+01,-1.018849497837702103e+02
-7.480468750000000000e+01,-1.018440448231745563e+02
-7.476562500000000000e+01,-1.018227812429270926e+02
-7.472656250000000000e+01,-1.018342653424487025e+02
-7.468750000000000000e+01,-1.018643328566069641e+02
-7.464843750000000000e+01,-1.019620347352994969e+02
-7.460937500000000000e+01,-1.021344888809553595e+02
-7.457031250000000000e+01,-1.021955263755974102e+02
-7.453125000000000000e+01,-1.020001344778077765e+02
-7.449218750000000000e+01,-1.017055141697613578e+02
-7.445312500000000000e+01,-1.015574530442617061e+02
-7.441406250000000000e+01,-1.016125517738771862e+02
-7.437500000000000000e+01,-1.017609775370130052e+02
-7.433593750000000000e+01,-1.018617220235673813e+02
-7.429687500000000000e+01,-1.018548816069880729e+02
-7.425781250000000000e+01,-1.018314644317887172e+02
-7.421875000000000000e+01,-1.018623713076185879e+02
-7.417968750000000000e+01,-1.018734174240041455e+02
-7.414062500000000000e+01,-1.018440487888221924e+02
-7.410156250000000000e+01,-1.018343554025865956e+02
-7.406250000000000000e+01,-1.018553285634064309e+02
-7.402343750000000000e+01,-1.019040310197601400e+02
-7.398437500000000000e+01,-1.019160168701040590e+02
-7.394531250000000000e+01,-1.018303596016963581e+02
-7.390625000000000000e+01,-1.017444481662377882e+02
-7.386718750000000000e+01,-1.017419850258679901e+02
-7.382812500000000000e+01,-1.017967204127185141e+02
-7.378906250000000000e+01,-1.018630183562908371e+02
-7.375000000000000000e+01,-1.018898490860083683e+02
-7.371093750000000000e+01,-1.018665682328405637e+02
-7.367187500000000000e+01,-1.018451595075804335e+02
-7.363281250000000000e+01,-1.018634870001971393e+02
-7.359375000000000000e+01,-1.019123550081536393e+02
-7.355468750000000000e+01,-1.019477541139406895e+02
-7.351562500000000000e+01,-1.019057527467484903e+02
-7.347656250000000000e+01,-1.017781176991676091e+02
-7.343750000000000000e+01,-1.016914192250759470e+02
-7.339843750000000000e+01,-1.017479352436597821e+02
-7.335937500000000000e+01,-1.018471910392834729e+02
-7.332031250000000000e+01,-1.018567108315834702e+02
-7.328125000000000000e+01,-1.018115532416119038e+02
-7.324218750000000000e+01,-1.017875178721524918e+02
-7.320312500000000000e+01,-1.017852253344084659e+02
-7.316406250000000000e+01,-1.017934160529597705e+02
-7.312500000000000000e+01,-1.018167765132543252e+02
-7.308593750000000000e+01,-1.018589219325774593e+02
-7.304687500000000000e+01,-1.019498431398602349e+02
-7.300781250000000000e+01,-1.020691631116700648e+02
-7.296875000000000000e+01,-1.020778038455601830e+02
-7.292968750000000000e+01,-1.018979550965493388e+02
-7.289062500000000000e+01,-1.016630424111745157e+02
-7.285156250000000000e+01,-1.015511278930065799e+02
-7.281250000000000000e+01,-1.015732996021805548e+02
-7.277343750000000000e+01,-1.016347831257345149e+02
